Multi Channel DataManager 1.14.8.22147 ASCII Export
File version: 1
Stream label: Spike Detector (1);Spike Detector; Spike Timestamps1
Stream type: TimeStamp
Data subtype: NeuralSpike

47 (ID=0) [µs],48 (ID=1) [µs],46 (ID=2) [µs],45 (ID=3) [µs],38 (ID=4) [µs],37 (ID=5) [µs],28 (ID=6) [µs],36 (ID=7) [µs],27 (ID=8) [µs],17 (ID=9) [µs],26 (ID=10) [µs],16 (ID=11) [µs],35 (ID=12) [µs],25 (ID=13) [µs],15 (ID=14) [µs],14 (ID=15) [µs],24 (ID=16) [µs],34 (ID=17) [µs],13 (ID=18) [µs],23 (ID=19) [µs],12 (ID=20) [µs],22 (ID=21) [µs],33 (ID=22) [µs],21 (ID=23) [µs],32 (ID=24) [µs],31 (ID=25) [µs],44 (ID=26) [µs],43 (ID=27) [µs],41 (ID=28) [µs],42 (ID=29) [µs],52 (ID=30) [µs],51 (ID=31) [µs],53 (ID=32) [µs],54 (ID=33) [µs],61 (ID=34) [µs],62 (ID=35) [µs],71 (ID=36) [µs],63 (ID=37) [µs],72 (ID=38) [µs],82 (ID=39) [µs],73 (ID=40) [µs],83 (ID=41) [µs],64 (ID=42) [µs],74 (ID=43) [µs],84 (ID=44) [µs],85 (ID=45) [µs],75 (ID=46) [µs],65 (ID=47) [µs],86 (ID=48) [µs],76 (ID=49) [µs],87 (ID=50) [µs],77 (ID=51) [µs],66 (ID=52) [µs],78 (ID=53) [µs],67 (ID=54) [µs],68 (ID=55) [µs],55 (ID=56) [µs],56 (ID=57) [µs],58 (ID=58) [µs],57 (ID=59) [µs]
,,,,,128715720,,,,,233299960,,,,,,,,,,,,,335259840,,,99666520,138780920,,24919080,,52657920,,,,108865680,,,,,,,,,,,,,76328440,109263120,,,,53300080,,,,,,
,,,,,128740400,,,,,243528360,,,,,,,,,,,,,336086640,,,99923520,147235720,,24939320,,53186040,,,,108969040,,,,,,,,,,,,,76595760,109437880,,,,64326720,,,,,,
,,,,,128757720,,,,,243796320,,,,,,,,,,,,,344089400,,,100680760,147244720,,24968800,,53191520,,,,109170520,,,,,,,,,,,,,77115080,109651320,,,,64497320,,,,,,
,,,,,129127040,,,,,244464440,,,,,,,,,,,,,344829960,,,101336600,147253680,,25011360,,53265600,,,,109362520,,,,,,,,,,,,,77237640,110167680,,,,64591920,,,,,,
,,,,,129528160,,,,,256881120,,,,,,,,,,,,,345354560,,,101614200,148086680,,25015960,,64351320,,,,109526680,,,,,,,,,,,,,77364600,110257240,,,,64647160,,,,,,
,,,,,129697240,,,,,257052040,,,,,,,,,,,,,348067440,,,108049680,148364160,,25046640,,64533080,,,,109726280,,,,,,,,,,,,,83416320,119769200,,,,64746240,,,,,,
,,,,,129890120,,,,,257344560,,,,,,,,,,,,,348356760,,,108170880,148492080,,25069920,,64595360,,,,109832400,,,,,,,,,,,,,83425480,119956720,,,,64848800,,,,,,
,,,,,130292880,,,,,258181840,,,,,,,,,,,,,360789520,,,108513560,153868360,,25076680,,64662040,,,,109944080,,,,,,,,,,,,,83440800,120178960,,,,64944200,,,,,,
,,,,,137514000,,,,,265884240,,,,,,,,,,,,,367432440,,,108683760,153875640,,25133280,,64760200,,,,110013960,,,,,,,,,,,,,83558440,120557560,,,,65274320,,,,,,
,,,,,137534200,,,,,265898520,,,,,,,,,,,,,383237120,,,108759720,153883680,,25137040,,64853120,,,,110366200,,,,,,,,,,,,,83623000,128655520,,,,65837040,,,,,,
